file,category,size_bytes,source_url
core_sys/images/side/gnavi/gl_bt_07a.gif,Banner,4449,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_07a.gif
core_sys/images/side/gnavi/gl_bt_09.gif,Banner,762,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_09.gif
core_sys/images/side/gnavi/gl_bt_08.gif,Banner,3330,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_08.gif
core_sys/images/side/gnavi/gl_bt_06ao.gif,Banner,4270,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_06ao.gif
core_sys/images/side/gnavi/gl_bt_08o.gif,Banner,4521,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_08o.gif
core_sys/images/side/gnavi/gl_bt_04ao.gif,Banner,4813,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_04ao.gif
core_sys/images/side/gnavi/gl_bt_04o.gif,Banner,4813,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_04o.gif
core_sys/images/side/gnavi/gl_bt_12o.gif,Banner,1887,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_12o.gif
core_sys/images/side/gnavi/gl_bt_13o.gif,Banner,4954,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_13o.gif
core_sys/images/side/gnavi/gl_bt_05o.gif,Banner,5327,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_05o.gif
core_sys/images/side/gnavi/gl_bt_02ao.gif,Banner,4184,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_02ao.gif
core_sys/images/side/gnavi/gl_bt_09o.gif,Banner,2908,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_09o.gif
core_sys/images/side/gnavi/gl_bt_06a.gif,Banner,4270,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_06a.gif
core_sys/images/side/gnavi/gl_bt_10a.gif,Banner,1598,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_10a.gif
core_sys/images/side/gnavi/gl_bt_05ao.gif,Banner,5327,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_05ao.gif
core_sys/images/side/gnavi/gl_bt_02o.gif,Banner,4184,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_02o.gif
core_sys/images/side/gnavi/gl_bt_01a.gif,Banner,3888,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_01a.gif
core_sys/images/side/gnavi/gl_bt_07ao.gif,Banner,4449,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_07ao.gif
core_sys/images/side/gnavi/gl_bt_03ao.gif,Banner,5152,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_03ao.gif
core_sys/images/side/gnavi/gl_bt_03o.gif,Banner,5152,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_03o.gif
core_sys/images/side/gnavi/gl_bt_01ao.gif,Banner,3888,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/gnavi/gl_bt_01ao.gif
core_sys/images/sys/alert_ic01.gif,Other,4054,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/alert_ic01.gif
core_sys/images/sys/nb_navi_prevt_bt.gif,Other,61,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/nb_navi_prevt_bt.gif
core_sys/images/sys/alert_ic02.gif,Other,4768,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/alert_ic02.gif
core_sys/images/sys/list_gl_bg.gif,Other,143,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/list_gl_bg.gif
core_sys/images/sys/list_bk_bg.gif,Other,160,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/list_bk_bg.gif
core_sys/images/sys/back_list_bt.gif,Background,533,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/back_list_bt.gif
core_sys/images/sys/tab_menu_l.gif,Other,391,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/tab_menu_l.gif
core_sys/images/sys/tab_menu_lo.gif,Other,810,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/tab_menu_lo.gif
core_sys/images/sys/ar01_bl01.gif,Other,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/ar01_bl01.gif
core_sys/images/sys/tab_line01.gif,Other,45,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/tab_line01.gif
core_sys/images/sys/ar02_gr02.gif,Other,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/ar02_gr02.gif
core_sys/images/sys/nb_navi_next_bt.gif,Other,61,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/nb_navi_next_bt.gif
core_sys/images/sys/pagetop_bt.gif,Other,504,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/pagetop_bt.gif
core_sys/images/sys/ar01_gr01.gif,Other,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/ar01_gr01.gif
core_sys/images/sys/new_ic01.gif,Other,639,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/new_ic01.gif
core_sys/images/sys/tab_menu_r.gif,Other,803,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/tab_menu_r.gif
core_sys/images/sys/ar01_wh01.gif,Other,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/ar01_wh01.gif
core_sys/images/sys/news/story_ic.gif,Story,1345,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/news/story_ic.gif
core_sys/images/sys/news/onair_ic.gif,News,1361,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/news/onair_ic.gif
core_sys/images/sys/news/goods_ic.gif,Goods,1358,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/news/goods_ic.gif
core_sys/images/sys/news/sp_ic.gif,News,1420,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/news/sp_ic.gif
core_sys/images/sys/news/news_ic.gif,News,1296,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/sys/news/news_ic.gif
