url,type,source_page
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000009/block/00000030/00000047.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00090000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00090000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/block/00000032/00000048.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/block/00000033/00000049.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/block/00000033/00000050.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/block/00000033/00000051.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/block/00000033/00000052.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/block/00000033/00000053.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/block/00000033/00000054.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/block/00000035/00000055.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/block/00000036/00000056.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/block/00000036/00000057.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html
