url,type,page,recovery_method
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000003/block/00000018/sn_00000038.gif%3F1484183771,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0010/index00030000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000003/block/00000018/sn_00000127.gif%3F1484183771,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0010/index00030000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000003/block/00000018/sn_00000129.gif%3F1484183771,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0010/index00030000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000003/block/00000018/sn_00000028.jpg%3F1484183771,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0010/index00030000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000013/00000022.jpg%3F1484183771,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080003.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000012/00000021.jpg%3F1484183771,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080002.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000015/00000024.jpg%3F1484183771,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080005.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000066/00000126.jpg%3F1484183774,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080009.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000065/00000125.jpg%3F1484183774,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080008.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000014/00000023.jpg%3F1484183771,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080004.html,HTTP 404
